
2024/02/29 (14:51:51) | ===> btop++ v.1.3.2
2024/02/29 (14:51:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (14:52:16) | ===> btop++ v.1.3.2
2024/02/29 (14:52:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/29 (14:52:37) | ===> btop++ v.1.3.2
2024/02/29 (14:52:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/12 (14:22:52) | ===> btop++ v.1.3.2
2024/03/12 (14:22:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (14:16:00) | ===> btop++ v.1.3.2
2024/04/17 (14:16:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (14:54:59) | ===> btop++ v.1.3.2
2024/04/17 (14:54:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (14:55:26) | ===> btop++ v.1.3.2
2024/04/17 (14:55:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/17 (15:27:43) | ===> btop++ v.1.3.2
2024/04/17 (15:27:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (17:20:30) | ===> btop++ v.1.3.2
2024/04/19 (17:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (21:14:10) | ===> btop++ v.1.3.2
2024/05/11 (21:14:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (21:14:22) | ===> btop++ v.1.3.2
2024/05/11 (21:14:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (21:14:30) | ===> btop++ v.1.3.2
2024/05/11 (21:14:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (21:15:11) | ===> btop++ v.1.3.2
2024/05/11 (21:15:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (23:17:12) | ===> btop++ v.1.3.2
2024/05/11 (23:17:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (23:17:18) | ===> btop++ v.1.3.2
2024/05/11 (23:17:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (23:17:18) | ===> btop++ v.1.3.2
2024/05/11 (23:17:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (23:50:11) | ===> btop++ v.1.3.2
2024/05/21 (23:50:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
